OTUID,DS1_L_1,DS1_L_2,DS1_L_3,DS1_L_4,DS1_L_5,DS1_L_6,DS2_L_1,DS2_L_2,DS2_L_3,DS2_L_4,DS2_L_5,DS2_L_6,DS3_L_1,DS3_L_2,DS3_L_3,DS3_L_4,DS3_L_5,DS3_L_6
OTU_642,0,1,0,1,0,0,58,1,65,266,650,3,3,2,2,2,0,2
OTU_505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_300,0,0,0,1012,0,0,0,0,0,0,1,0,0,0,0,1,0,0
OTU_360,0,0,0,0,0,0,156,36,12,14,117,635,0,0,0,0,0,0
OTU_278,0,0,0,0,0,0,360,219,141,145,3,199,0,0,0,0,0,0
OTU_745,0,0,0,0,0,0,41,11,31,187,393,331,4,8,4,6,3,4
OTU_355,0,0,0,0,0,0,53,45,99,32,47,12,56,374,46,64,35,53
OTU_551,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
OTU_291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_303,0,0,0,0,0,0,11,4,38,7,955,3,4,4,3,7,4,2
OTU_561,1,364,2,0,1,0,6,2,4,1,5,0,2,4,0,3,4,5
OTU_244,0,0,0,0,0,0,0,118,943,0,1,2,0,0,0,0,0,0
OTU_386,0,0,0,0,0,0,0,0,0,0,1057,0,2,0,0,2,0,2
OTU_301,0,0,0,0,0,0,106,5,1,29,46,851,2,2,2,1,1,0
OTU_302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
OTU_294,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_879,0,0,0,0,0,0,7,3,11,467,7,3,16,4,6,91,7,102
OTU_348,27,20,3,11,1,1,0,1,1,4,1,0,0,1,0,0,0,837
OTU_307,0,0,157,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
OTU_499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
OTU_318,0,0,0,1,0,1,1,0,5,25,1,0,18,0,780,0,0,2
OTU_454,0,0,0,0,0,0,68,1,1,2,884,0,1,1,2,3,0,1
OTU_395,0,0,0,0,0,0,3,1,0,448,0,0,22,2,1,0,139,340
OTU_500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_325,0,11,0,706,1,2,34,1,0,1,38,0,1,0,119,1,1,1
OTU_1399,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
OTU_296,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0
OTU_436,478,1,0,16,0,0,0,0,0,0,0,0,2,17,0,0,0,416
OTU_320,0,0,0,0,0,0,0,1,2,0,3,3,0,19,0,21,882,1
OTU_433,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,2,0,0
OTU_434,1,0,0,1,0,0,26,462,10,65,0,1,31,1,0,21,0,39
OTU_424,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
OTU_321,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
OTU_431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_308,0,0,0,0,0,0,103,34,9,0,14,742,0,0,0,0,1,0
OTU_316,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0
OTU_305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_451,0,0,0,0,0,1,4,16,424,38,369,1,5,2,5,2,1,4
OTU_293,0,2,1,854,1,3,0,0,0,0,0,0,0,0,0,0,0,0
OTU_328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_337,0,0,0,0,0,0,2,0,1,0,69,776,0,0,0,0,2,0
OTU_515,0,0,0,0,0,0,1,0,157,0,0,0,0,0,0,0,0,0
OTU_391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_414,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
OTU_357,0,1,0,830,1,0,1,2,1,0,1,15,0,0,0,1,0,0
OTU_368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_493,0,0,0,0,0,0,232,115,402,29,14,55,0,0,4,0,0,0
OTU_426,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
OTU_527,1,0,1,0,0,0,404,65,5,8,301,1,8,1,2,1,6,5
OTU_330,0,0,0,0,0,0,0,1,1,1,0,0,2,0,813,0,0,0
OTU_447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_366,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_383,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
OTU_309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_336,0,0,0,0,0,0,86,482,28,1,212,1,0,0,0,0,1,0
OTU_1018,0,0,0,1,0,0,142,12,451,6,106,55,1,5,2,3,4,1
OTU_374,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_845,0,0,0,33,0,133,585,7,15,1,38,0,1,0,0,0,0,0
OTU_389,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
OTU_353,0,0,0,0,0,0,129,116,56,499,2,6,0,0,0,0,0,0
OTU_641,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OTU_323,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU_416,10,52,56,89,221,246,86,2,9,2,0,0,0,0,0,0,0,0
OTU_532,0,0,0,0,0,0,6,101,52,6,557,4,8,4,4,1,6,5
OTU_469,4,0,0,93,3,6,63,3,6,259,32,56,3,5,2,0,0,6
OTU_341,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
OTU_439,0,0,0,0,0,0,100,1,12,473,68,97,1,0,0,0,4,0
OTU_432,0,0,0,786,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_502,0,0,0,0,0,0,25,505,36,121,52,0,4,3,2,3,0,3
OTU_437,0,1,0,738,0,1,0,0,1,24,0,0,0,0,0,0,4,0
OTU_619,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OTU_333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1234,1,1,1,1,0,1,5,69,2,0,15,291,2,0,3,0,2,2
OTU_326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_483,0,0,0,0,0,0,4,7,4,1,243,0,6,6,473,2,5,5
OTU_460,1,0,0,0,0,0,72,1,0,4,0,686,0,0,0,0,0,0
OTU_377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_441,0,0,0,0,0,0,113,32,464,11,113,0,1,0,1,0,1,0
OTU_508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_371,0,0,0,0,0,0,0,0,0,0,551,0,0,0,200,1,1,0
OTU_387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
OTU_349,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OTU_399,0,0,0,0,0,0,82,0,0,656,0,0,0,0,0,0,0,0
OTU_338,0,0,0,0,0,0,2,1,3,1,0,7,4,0,673,5,1,16
OTU_419,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
OTU_375,0,0,0,0,0,0,0,2,696,1,29,0,0,1,0,0,1,0
OTU_322,0,659,1,37,0,1,0,0,0,31,1,0,0,0,0,0,0,0
OTU_679,0,0,1,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0
OTU_327,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_621,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
OTU_430,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,0,0
OTU_643,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0
OTU_440,0,0,0,0,0,0,0,0,586,124,2,1,0,0,1,0,1,1
OTU_413,17,0,0,17,0,0,2,0,0,1,0,0,0,0,0,0,0,0
OTU_612,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
OTU_381,0,0,0,0,0,0,6,0,68,512,119,0,0,0,0,1,0,2
OTU_831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_452,0,0,0,0,0,0,27,91,63,5,23,446,0,1,0,3,1,0
OTU_979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1195,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
OTU_358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_346,0,0,0,694,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_363,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
OTU_543,0,0,0,0,0,0,12,8,2,10,186,382,14,10,7,4,9,5
OTU_379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_369,0,0,0,0,0,0,0,1,0,0,0,0,0,690,0,0,0,0
OTU_408,0,0,0,0,0,0,542,0,0,4,119,2,1,0,0,0,0,0
OTU_761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_614,0,0,0,12,0,1,133,321,1,4,92,22,3,0,0,1,2,7
OTU_362,0,0,0,0,0,0,0,0,0,0,19,0,0,0,656,0,0,0
OTU_601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1781,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OTU_841,0,0,0,0,0,0,229,46,111,8,148,59,2,0,1,1,0,0
OTU_736,0,0,0,0,0,0,329,0,1,0,4,0,0,0,0,1,0,0
OTU_364,0,0,0,0,0,0,0,0,0,660,0,0,0,0,0,0,0,0
OTU_339,0,0,0,656,0,1,1,0,0,0,0,0,0,1,0,0,0,0
OTU_394,3,1,1,1,0,0,7,112,500,15,3,1,1,3,0,0,0,0
OTU_1358,0,0,0,0,0,0,17,263,128,18,158,5,2,1,0,2,2,0
OTU_529,0,0,0,0,0,0,2,1,4,3,608,1,2,3,2,6,0,6
OTU_354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_407,0,0,0,0,0,0,76,31,456,39,1,15,0,0,1,0,0,0
OTU_400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_530,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0
OTU_484,0,0,0,0,1,1,18,4,0,592,1,0,0,0,0,0,0,0
OTU_405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OTU_675,0,0,0,0,0,0,60,0,53,0,0,1,0,0,1,0,2,1
OTU_418,0,0,0,0,0,0,8,4,5,0,16,0,2,1,583,1,1,0
OTU_378,0,0,0,0,0,0,0,1,2,1,1,0,1,1,0,0,1,1
OTU_593,0,3,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
OTU_409,0,0,0,0,0,0,229,28,190,114,23,3,2,1,1,0,0,0
OTU_481,0,0,0,0,0,0,235,316,72,0,0,1,0,0,0,0,0,1
OTU_445,0,0,0,0,0,0,245,7,82,196,2,83,0,0,0,0,0,0
OTU_528,0,0,0,0,0,0,2,1,3,9,236,6,9,1,304,4,8,11
OTU_557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1101,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
OTU_563,0,0,0,0,0,0,512,1,55,4,23,1,1,0,0,0,0,1
OTU_465,0,0,0,0,0,0,184,89,165,33,7,45,1,0,0,0,0,0
OTU_555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_435,0,395,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OTU_840,0,0,0,0,0,0,8,23,5,3,0,11,0,0,0,1,0,0
OTU_397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
OTU_428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_382,0,0,0,0,0,0,0,0,0,0,0,584,0,0,0,0,0,0
OTU_624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_506,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OTU_390,0,0,0,0,2,0,0,5,7,512,0,0,0,0,0,0,2,0
OTU_1853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_415,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_477,0,0,0,0,0,0,411,0,2,9,110,1,0,2,0,1,0,2
OTU_665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
OTU_421,0,0,0,0,0,0,138,0,40,0,0,369,0,0,0,0,0,0
OTU_674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_603,0,0,0,0,0,0,125,34,0,58,11,10,0,0,0,297,0,0
OTU_420,0,0,0,0,0,1,1,4,1,480,0,0,0,1,0,0,1,0
OTU_401,8,0,0,0,0,0,0,0,0,515,0,0,0,1,0,0,0,0
OTU_590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
OTU_618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_459,0,0,0,0,0,0,14,193,267,10,19,2,1,1,1,0,0,0
OTU_488,0,0,0,0,0,0,151,1,0,360,11,0,0,0,0,2,2,0
OTU_485,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OTU_587,0,0,0,0,0,0,110,10,7,2,356,4,2,4,4,3,3,3
OTU_888,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
OTU_535,0,0,0,0,0,2,43,2,6,4,395,0,3,3,2,2,1,5
OTU_423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_760,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
OTU_429,0,0,0,0,0,0,0,2,464,0,35,5,0,2,0,1,1,2
OTU_541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_606,0,0,0,0,0,0,269,0,134,8,30,0,6,3,5,3,3,3
OTU_489,0,0,0,0,0,1,6,1,1,1,488,1,2,1,0,0,2,0
OTU_576,0,0,0,0,0,0,270,0,51,5,3,1,0,1,0,0,0,1
OTU_858,0,0,1,0,1,0,29,1,63,9,3,16,6,12,0,10,28,3
OTU_462,0,0,0,0,0,0,493,0,0,0,5,0,0,0,0,0,1,0
OTU_411,0,0,0,0,0,0,50,0,419,3,0,24,0,1,0,0,0,0
OTU_492,0,0,0,0,0,0,154,10,148,146,9,3,2,1,0,0,0,1
OTU_915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_449,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0
OTU_552,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
OTU_458,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
OTU_479,0,0,0,0,0,0,64,10,227,122,19,41,0,1,0,0,1,0
OTU_456,0,0,0,0,0,0,34,16,4,235,184,0,0,1,1,1,0,2
OTU_570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_516,0,0,0,0,0,0,348,31,0,1,86,2,1,1,1,0,0,1
OTU_545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_602,0,0,0,0,3,0,4,308,29,0,89,0,0,4,1,5,3,2
OTU_475,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
OTU_755,0,0,0,0,0,0,122,0,128,5,40,153,1,0,0,1,1,0
OTU_594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_442,0,0,0,0,0,0,2,0,5,0,23,0,1,0,439,1,0,0
OTU_699,16,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,1,0
OTU_503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_573,0,0,0,59,0,105,1,0,150,92,4,27,0,0,2,1,0,0
OTU_464,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
OTU_615,0,0,0,1,0,0,11,0,1,11,199,208,1,0,0,1,0,0
OTU_443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
OTU_438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_821,0,0,0,0,0,0,115,15,3,40,70,160,6,3,3,2,6,3
OTU_476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_613,159,0,0,0,0,0,84,3,17,108,24,6,0,1,16,3,0,1
OTU_526,0,0,0,0,0,0,6,8,264,33,83,4,3,5,2,7,8,6
OTU_846,0,7,1,0,0,0,1,0,2,1,0,1,0,0,2,0,0,1
OTU_444,0,0,0,0,0,0,1,0,0,438,12,0,0,0,0,0,0,0
OTU_652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_482,0,0,0,0,0,0,443,0,1,0,3,0,0,0,0,0,0,0
OTU_662,0,0,0,0,0,0,32,3,218,5,158,2,1,3,3,1,4,1
OTU_486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_629,0,0,0,0,0,0,319,6,3,5,78,2,3,6,6,2,2,3
OTU_521,0,0,133,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OTU_560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_742,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_406,0,0,0,0,0,0,1,0,419,0,18,0,0,0,0,0,0,0
OTU_472,0,0,0,0,0,0,0,412,0,0,0,0,0,0,26,0,0,1
OTU_549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_466,0,0,0,0,0,0,0,0,0,0,5,424,0,0,0,0,0,0
OTU_790,0,0,0,0,0,0,33,41,31,0,34,0,81,26,54,61,35,35
OTU_490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_828,0,0,0,0,0,0,1,15,0,96,0,0,0,0,0,0,1,20
OTU_463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_531,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
OTU_1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_598,2,0,0,1,3,0,121,139,16,1,8,10,2,1,0,1,1,2
OTU_756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_525,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_487,0,0,0,357,2,0,36,0,0,0,1,0,1,0,0,0,0,0
OTU_697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_591,0,0,0,0,2,1,100,183,0,89,6,1,0,1,4,0,0,0
OTU_519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_534,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU_553,2,6,2,0,0,0,0,0,0,0,6,0,0,0,357,0,0,0
OTU_647,0,0,0,0,0,0,258,0,0,2,1,130,0,0,0,0,0,1
OTU_650,0,0,0,0,0,0,117,10,272,0,0,0,0,0,0,0,0,0
OTU_474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OTU_757,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_470,0,0,0,0,0,0,311,1,56,8,0,1,0,0,0,0,0,0
OTU_471,0,396,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_783,5,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0
OTU_448,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_498,0,0,0,0,0,0,4,4,365,1,1,0,5,3,4,0,0,0
OTU_604,0,0,0,0,0,0,0,1,180,0,0,0,0,0,8,104,0,19
OTU_637,0,0,0,0,0,0,3,222,3,4,147,1,2,0,1,0,2,1
OTU_583,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OTU_678,0,0,0,0,0,0,7,6,11,1,89,2,7,1,234,3,7,2
OTU_748,1,0,0,0,0,0,1,0,136,151,0,0,5,0,10,4,1,1
OTU_1169,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0
OTU_659,0,0,1,0,0,0,73,45,0,106,2,3,1,2,1,0,1,0
OTU_522,0,0,1,11,1,0,0,1,0,0,0,0,0,358,0,0,0,1
OTU_611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_518,3,0,1,240,0,98,2,15,4,0,1,0,0,0,0,0,1,3
OTU_694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_718,0,0,0,0,0,0,81,132,2,17,93,32,3,2,1,0,2,1
OTU_494,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0
OTU_687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1200,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
OTU_509,0,0,0,0,1,0,94,22,91,144,2,5,0,0,0,0,0,0
OTU_571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_537,0,0,0,0,0,0,341,6,12,0,3,3,0,0,0,0,1,0
OTU_547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_620,0,0,0,0,0,0,210,8,14,2,7,105,0,0,0,0,0,1
OTU_894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_735,0,0,0,0,0,0,5,13,14,10,53,2,3,3,3,8,7,3
OTU_729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_772,0,0,0,0,0,0,12,49,1,1,166,120,1,0,0,1,0,0
OTU_495,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
OTU_860,0,0,0,0,0,0,69,24,6,48,171,1,0,0,1,1,1,1
OTU_814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_645,0,1,0,0,1,1,7,0,0,0,1,0,0,0,0,0,0,0
OTU_523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_725,1,0,1,1,0,0,331,2,7,0,2,0,0,0,0,0,0,0
OTU_784,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1283,0,0,0,0,0,0,161,21,82,26,33,12,0,0,0,1,0,2
OTU_711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_473,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_700,0,1,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0
OTU_510,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OTU_554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_661,0,0,0,0,0,0,0,1,0,206,104,0,2,1,2,1,0,4
OTU_1068,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OTU_1094,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
OTU_626,0,1,0,0,0,0,267,1,1,0,53,3,1,0,0,0,0,1
OTU_491,0,0,0,0,0,0,2,0,0,234,0,96,0,0,0,0,0,0
OTU_496,0,1,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_708,5,0,0,0,0,0,51,0,36,152,33,3,0,0,2,0,0,0
OTU_1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_822,0,0,0,0,0,0,99,2,1,3,180,2,2,2,12,4,1,1
OTU_558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_564,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
OTU_589,0,0,0,1,0,0,261,0,4,5,23,1,0,3,6,2,4,1
OTU_638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_837,0,0,0,2,0,0,0,0,0,1,308,0,0,0,0,0,0,1
OTU_550,0,0,0,0,0,0,244,1,20,0,6,45,0,0,0,0,1,0
OTU_632,115,2,0,159,0,37,0,0,0,0,0,2,0,0,0,0,0,0
OTU_646,0,0,0,0,0,0,231,8,4,30,22,0,2,0,0,3,2,0
OTU_536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
