OTUID,DS1_L_1,DS1_L_2,DS1_L_3,DS1_L_4,DS1_L_5,DS1_L_6,DS2_L_1,DS2_L_2,DS2_L_3,DS2_L_4,DS2_L_5,DS2_L_6,DS3_L_1,DS3_L_2,DS3_L_3,DS3_L_4,DS3_L_5,DS3_L_6
OTU_26,3474,2954,2576,3809,9,11,242,81,156,87,40,66,76,53,50,76,46,50
OTU_20,1,0,0,0,0,1,0,0,0,2,0,1,0,1,1,0,0,0
OTU_25,2,6,1,93,3,2,20,11,80,119,11,7,851,7,5,4,13656,146
OTU_212,1,0,0,0,0,2,259,4,0,4,0,2,0,3,0,3,0,0
OTU_22,1,0,0,0,0,0,2,519,124,0,2,160,218,3,2804,6691,96,3984
OTU_23,0,0,0,0,0,0,6,2,4,3,1,0,7,1,0,0,6,14040
OTU_33,0,1,0,0,0,0,5,11,43,7,1060,3,4,12125,6,7,7,3
OTU_1515,1224,116,4310,1758,9,6,616,128,93,23,5,30,7,5,1,32,10,6
OTU_27,4808,2591,2,2231,4,1886,2,55,4,0,0,94,0,0,1,2,0,1
OTU_28,4,3326,0,0,0,0,231,145,1036,57,832,622,5,1,5602,8,0,0
OTU_36,9409,6,10,14,6,2199,44,2,1,2,12,0,0,1,2,0,0,0
OTU_82,0,2,0,3,0,0,0,0,1,4,0,1,0,0,1,1,1,1
OTU_45,4,6275,4,2,3,4831,1,2,0,0,0,17,0,0,0,1,2,0
OTU_29,0,0,0,0,0,0,0,0,1,3,0,2,1,0,0,0,0,2
OTU_40,5,3,7,1,1,2,0,0,0,0,0,0,3,0,3,10802,0,0
OTU_38,0,0,0,0,0,0,4,2,3,0,3,0,0,10683,0,0,5,4
OTU_34,0,0,0,0,0,0,1671,2408,898,1480,1209,2635,4,3,138,6,9,2
OTU_39,0,0,0,0,0,0,4,0,1,2,3,1,2,0,0,0,0,2
OTU_1603,2,2,0,0,0,0,0,0,0,5,0,61,0,0,0,0,0,1
OTU_55,5,855,5,95,7,2,1,1,0,1,21,1,0,1,0,0,0,0
OTU_41,0,0,0,0,0,0,2,3,3,0,2,0,0,10135,0,0,1,2
OTU_46,4,5747,7,4111,0,0,23,0,4,2,2,5,0,2,1,1,3,3
OTU_80,0,1,0,0,0,0,2607,2500,1923,262,1009,1282,7,7,9,2,5,3
OTU_151,5,250,7,1590,7364,9,138,4,4,0,3,0,2,3,0,0,4,2
OTU_83,1558,12,4,8,7458,14,114,35,19,60,15,1,5,11,1,5,15,16
OTU_52,4,2703,6,5,0,3,760,926,735,316,1263,2150,223,30,28,42,26,38
OTU_30,0,1,0,0,0,0,0,0,0,3,0,0,9652,0,2,4,0,2
OTU_73,4622,4,4,4190,2,2,56,164,42,142,95,21,2,0,1,1,0,2
OTU_49,0,0,0,0,0,0,153,1,19,1,3,2,1,0,0,2,0,1
OTU_37,1,6,3102,5430,2,3,3,1,2,1,1,23,2,3,2,2,1,5
OTU_47,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
OTU_106,5,6,1632,16,6,12,1384,1241,572,1346,46,1910,13,3,12,14,3,3
OTU_86,0,0,1,1,0,1,0,0,12,5,0,1,0,0,2,0,0,0
OTU_56,5591,2,2,3,5,2545,15,186,16,14,11,9,12,9,30,7,9,13
OTU_43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_42,0,0,0,169,0,0,3,2,0,339,3,5,1735,4,1,2,5732,10
OTU_53,2,3,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
OTU_72,4484,0,0,1,1,2919,25,0,0,3,2,0,0,0,9,0,1,1
OTU_152,0,0,0,0,0,0,2,0,0,4,1,0,0,0,0,0,0,0
OTU_57,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
OTU_64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OTU_104,1,2780,0,1,3078,1,262,178,640,217,9,47,0,0,0,0,0,1
