OTUID,DS1_R_1,DS1_R_2,DS1_R_3,DS1_R_4,DS1_R_5,DS1_R_6,DS2_R_1,DS2_R_2,DS2_R_3,DS2_R_4,DS2_R_5,DS2_R_6,DS3_R_1,DS3_R_2,DS3_R_3,DS3_R_4,DS3_R_5,DS3_R_6
OTU_43,0,0,0,0,0,1,0,0,0,0,0,0,5770,2569,2,0,0,0
OTU_42,0,0,2,0,0,0,20,0,0,0,2,2,9,20,1,2,9,7
OTU_53,853,1063,1391,1143,1380,549,200,219,152,122,204,229,9,19,19,15,1,7
OTU_72,36,2,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0
OTU_152,290,204,215,146,264,106,657,568,243,862,851,863,267,881,714,108,76,139
OTU_57,601,521,484,679,966,699,205,475,502,499,552,661,15,241,112,138,17,88
OTU_64,859,956,877,781,1224,1890,208,187,48,102,81,119,0,0,9,1,0,0
OTU_104,0,0,0,0,0,1,4,14,1,0,9,1,16,24,10,3,17,8
OTU_131,244,128,126,228,216,103,571,588,617,714,634,651,388,364,189,331,601,529
OTU_450,72,59,20,42,26,12,539,907,764,798,881,704,93,803,857,239,48,248
OTU_67,0,1,0,0,0,1,68,44,40,1,2,1,2049,2899,1237,193,274,270
OTU_90,0,0,0,0,0,0,573,564,375,1619,1813,1152,34,141,133,186,285,207
OTU_70,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
OTU_89,0,1,1,0,1,11,31,1,1,2,1,38,0,10,1,3,1,5
OTU_69,159,96,165,133,152,142,482,511,622,846,980,1010,108,350,369,443,39,161
OTU_114,105,10,27,45,32,24,26,11,8,46,61,27,12,23,74,10,28,116
OTU_185,0,0,0,0,0,0,13,0,0,1,4,4,0,0,0,0,0,0
OTU_51,0,0,0,0,1,0,7,0,0,0,0,0,7,0,0,0,0,2
OTU_134,648,1012,962,556,674,1410,101,68,82,65,96,68,14,97,168,94,7,189
OTU_66,0,0,0,0,0,0,5,3,2,0,6,9,34,1,2,1,1,1
OTU_139,15,3,1,6,8,0,524,475,739,476,542,416,590,400,774,501,295,478
OTU_58,27,4,4,1,11,2,25,25,241,1,9,12,1,0,1,0,0,2
OTU_50,0,4,4,1,1,0,155,104,720,467,426,452,66,378,480,1746,360,814
OTU_109,5,0,2,0,1,0,1322,837,1080,664,694,481,23,491,407,52,4,10
OTU_48,0,0,0,0,0,0,359,223,210,1400,1454,349,20,869,521,37,23,519
OTU_119,0,1,0,0,9,12,22,6,2,4,9,11,12,10,1,1,5,2
OTU_120,1,0,0,0,0,0,1932,1180,1171,155,178,158,103,24,70,63,277,137
OTU_501,282,227,197,242,470,303,311,306,440,187,102,136,428,127,170,337,333,307
OTU_59,0,3,0,0,0,0,6,4,4,6,7,34,9,1,3,2,4,12
OTU_116,0,4,0,1,0,0,7,2,2,4,0,3,1,7,3,5,0,4
OTU_63,4,7,0,0,0,45,11,15,9,14,15,28,7,5,0,3,2,0
OTU_118,1,9,2,0,8,3,36,10,8,13,10,29,11,16,7,3,1,4
OTU_75,121,165,93,242,248,209,639,640,262,581,481,476,97,212,189,287,212,206
OTU_94,0,0,0,0,0,0,0,0,0,0,1,0,27,1,4,10,1,12
OTU_1469,281,250,207,253,315,128,488,413,462,464,601,577,87,198,186,296,25,91
OTU_196,787,874,768,742,647,857,105,78,53,97,105,156,2,14,10,13,6,4
OTU_275,203,192,136,190,272,184,533,467,391,705,629,617,48,226,230,179,23,47
OTU_65,326,286,228,203,248,279,324,428,506,553,628,563,182,150,84,139,47,79
OTU_153,466,363,328,433,530,337,133,144,364,91,93,132,156,93,186,399,499,469
OTU_88,6,12,0,4,2,10,7,1,4,1,5,4,78,42,33,66,249,145
OTU_61,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU_136,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
OTU_85,131,144,82,121,295,84,345,431,372,345,422,444,155,197,209,411,225,250
OTU_71,1,6,3,0,5,1,10,3,4,4,5,6,0,3,1,0,0,4
