OTUID,DS1_R_1,DS1_R_2,DS1_R_3,DS1_R_4,DS1_R_5,DS1_R_6,DS2_R_1,DS2_R_2,DS2_R_3,DS2_R_4,DS2_R_5,DS2_R_6,DS3_R_1,DS3_R_2,DS3_R_3,DS3_R_4,DS3_R_5,DS3_R_6
OTU_505,0,0,0,0,0,0,0,0,0,0,0,0,18,345,627,126,1,0
OTU_300,1,2,0,87,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU_360,0,2,0,0,0,69,6,10,6,8,4,22,0,0,0,0,7,1
OTU_278,0,0,0,0,0,0,0,7,7,2,0,14,0,0,0,0,0,1
OTU_745,0,1,0,0,0,0,5,10,8,19,14,9,1,0,4,1,0,1
OTU_355,0,0,0,1,0,0,42,16,20,39,26,32,0,0,0,0,0,0
OTU_551,0,0,0,0,0,0,1,0,14,0,1,0,214,147,49,137,133,380
OTU_291,0,0,0,0,0,0,0,1,5,0,1,0,415,49,46,101,244,213
OTU_303,0,0,0,0,0,0,5,3,6,9,4,5,0,0,0,0,0,0
OTU_561,40,8,9,17,10,55,43,13,21,23,8,22,8,11,13,45,81,240
OTU_244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_301,0,0,0,0,0,0,0,2,1,1,2,1,0,0,0,0,0,0
OTU_302,0,0,0,0,0,0,0,0,0,0,0,0,76,195,59,418,74,223
OTU_277,12,4,0,5,15,22,213,123,96,149,197,106,2,39,14,26,0,12
OTU_294,30,19,13,9,54,60,126,133,80,165,166,163,4,3,5,5,0,0
OTU_879,0,1,1,2,2,1,13,2,2,16,23,3,18,2,3,2,189,4
OTU_348,14,1,3,0,25,3,1,0,0,0,0,0,9,5,6,0,7,6
OTU_307,0,1,1,0,159,0,89,32,59,32,32,18,3,20,28,73,119,160
OTU_499,0,0,0,0,0,0,158,34,185,2,0,9,19,21,123,116,166,149
OTU_318,0,0,0,0,0,0,27,0,7,1,0,0,37,35,9,9,12,9
OTU_454,0,0,0,0,0,0,1,2,0,1,2,2,0,0,1,0,0,0
OTU_395,0,0,0,0,0,1,3,1,1,3,0,1,0,0,0,0,0,0
OTU_500,13,5,6,3,5,2,52,31,250,52,83,20,84,68,82,89,78,37
OTU_299,0,0,0,0,0,0,0,0,0,0,0,0,88,8,6,58,557,235
OTU_325,0,1,0,0,1,0,2,0,1,0,1,2,14,0,2,1,1,0
OTU_1399,153,36,26,54,53,32,12,11,39,7,11,15,29,51,40,41,269,55
OTU_296,0,0,0,0,0,0,301,226,61,13,29,39,21,136,77,18,1,5
OTU_436,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0
OTU_320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_433,76,44,34,55,112,111,16,55,78,56,50,86,10,9,7,12,3,11
OTU_434,0,7,0,1,1,0,2,59,35,50,0,1,19,4,10,9,40,36
OTU_424,7,0,0,0,3,0,248,136,72,84,150,34,1,65,42,6,2,75
OTU_321,58,41,36,362,21,40,15,23,146,5,45,15,31,6,16,46,9,5
OTU_431,0,0,0,0,0,0,0,0,0,0,0,0,257,71,125,228,152,87
OTU_514,0,0,0,0,0,0,0,0,48,0,0,0,132,146,47,204,228,115
OTU_308,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OTU_316,0,0,0,0,0,0,1,0,0,0,1,1,58,66,39,0,406,322
OTU_305,65,57,100,25,99,57,91,85,73,38,43,74,2,17,17,28,2,16
OTU_451,0,7,0,0,0,0,1,0,2,1,0,5,0,0,0,0,0,0
OTU_293,0,2,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_328,29,32,1,605,59,58,4,2,35,0,1,0,17,5,4,8,7,10
OTU_345,90,61,88,84,57,90,52,39,63,18,69,38,5,17,37,24,18,27
OTU_342,0,0,0,0,0,0,0,0,0,0,0,0,542,70,57,37,94,74
OTU_351,10,0,1,1,38,1,214,56,63,8,2,149,6,183,59,54,17,9
OTU_337,0,2,0,0,0,0,2,0,2,1,1,7,2,0,0,0,3,0
OTU_515,1,0,1,0,1,0,1,0,25,1,1,0,136,93,39,29,241,137
OTU_391,342,87,2,113,68,37,51,52,11,16,21,31,0,5,20,3,0,4
OTU_414,0,0,0,0,0,0,0,0,442,3,0,2,127,62,7,103,70,37
OTU_357,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
OTU_368,2,0,10,0,1,1,42,107,41,105,119,185,15,51,63,45,23,41
OTU_493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_426,1,0,0,0,0,0,277,380,57,12,9,4,5,68,8,8,14,6
OTU_527,0,0,0,0,0,0,11,4,2,6,7,6,0,0,1,0,4,0
OTU_330,0,0,0,0,0,0,1,2,0,0,3,0,9,0,0,4,5,5
OTU_447,0,0,0,0,0,0,0,0,0,0,0,0,49,8,102,415,39,229
OTU_366,46,27,22,54,63,14,90,67,28,155,128,101,10,13,4,7,0,3
OTU_383,10,8,6,28,40,0,7,6,8,9,11,14,3,3,2,3,6,1
OTU_309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,724,4,102
OTU_336,0,0,0,0,0,0,1,2,0,0,1,4,0,0,0,0,12,0
OTU_1018,0,1,0,0,0,0,9,2,3,5,4,7,0,0,2,0,1,5
OTU_374,0,0,0,1,0,0,17,6,7,0,2,2,88,186,37,105,116,196
OTU_334,0,0,0,0,0,0,0,0,2,0,0,0,2,471,197,127,0,22
OTU_622,0,0,0,0,0,0,10,2,7,6,0,1,92,100,110,151,191,149
OTU_845,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1
OTU_389,23,6,10,5,1,2,12,45,43,28,19,25,16,144,109,161,44,119
OTU_353,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
OTU_641,55,17,21,72,79,36,8,7,14,5,2,2,118,35,52,97,102,87
OTU_323,120,120,133,81,80,53,5,23,4,28,24,12,0,21,18,16,10,48
OTU_416,0,1,0,0,3,0,0,1,19,7,0,0,0,0,0,0,0,0
OTU_532,0,0,0,0,0,1,7,7,8,4,6,11,0,0,0,0,0,2
OTU_469,2,0,11,2,9,2,0,4,1,5,1,1,106,21,21,15,26,27
OTU_341,51,30,54,25,10,40,74,96,80,33,66,48,12,53,49,35,2,29
OTU_439,0,0,0,0,0,0,6,3,4,6,6,7,0,0,0,0,0,0
OTU_432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_631,0,0,0,0,0,0,31,23,92,12,17,9,9,35,204,59,110,185
OTU_502,0,4,0,0,0,0,1,0,2,6,3,3,0,0,2,6,1,1
OTU_437,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,1,1,0
OTU_619,24,29,25,14,70,2,90,84,67,61,35,39,27,55,23,37,48,46
OTU_333,0,0,0,0,0,0,0,0,0,0,0,0,161,22,31,9,122,430
OTU_1234,0,1,0,0,0,301,0,0,0,0,5,3,23,6,12,2,11,9
OTU_326,0,0,1,0,0,0,0,0,5,0,0,0,1,90,22,24,188,437
OTU_483,0,0,0,0,0,0,2,1,0,1,5,2,0,0,0,0,0,1
OTU_460,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OTU_377,0,0,0,0,0,0,0,0,0,0,0,0,224,238,203,88,0,5
OTU_441,0,2,0,0,0,0,2,2,1,2,3,5,0,2,0,0,0,0
OTU_508,0,0,0,0,0,0,0,0,0,0,0,0,170,71,26,127,283,77
OTU_371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_387,0,1,0,5,242,0,0,0,0,0,1,0,51,25,59,148,150,65
OTU_349,27,10,23,16,5,50,97,53,96,76,59,84,6,21,39,21,9,48
OTU_399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_338,0,0,0,0,0,0,3,10,4,2,1,3,1,0,0,0,0,0
OTU_419,3,0,0,0,1,0,76,112,45,153,165,152,12,5,0,4,4,2
OTU_375,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0
OTU_322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_679,29,23,9,6,33,10,85,84,39,69,89,48,12,16,38,24,49,28
OTU_327,176,77,32,45,143,28,47,19,39,37,56,18,0,2,3,2,0,0
OTU_621,0,0,0,0,0,0,326,241,3,1,0,2,5,113,12,2,16,1
OTU_430,2,0,0,56,185,26,10,0,0,0,0,0,14,1,6,29,376,9
OTU_643,31,17,38,15,27,18,13,49,80,91,84,62,6,52,20,16,2,20
OTU_440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_413,3,0,24,39,1,1,2,2,1,0,0,0,67,88,236,197,8,5
OTU_612,48,66,49,146,53,34,32,35,20,29,34,36,20,37,11,36,12,11
OTU_381,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
OTU_831,4,12,20,8,45,6,64,79,64,42,51,74,40,36,32,34,71,25
OTU_452,0,10,0,0,0,0,1,6,1,3,5,2,0,0,10,5,0,3
OTU_979,24,14,16,17,34,8,45,82,62,108,135,147,2,3,3,0,4,1
OTU_546,46,17,71,22,48,12,77,88,63,96,67,66,4,11,1,7,0,8
OTU_1195,6,6,2,0,31,0,60,37,64,60,96,54,63,55,30,27,62,45
OTU_358,0,0,0,0,0,0,80,140,80,153,130,78,8,6,2,12,0,9
OTU_346,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU_363,0,0,0,0,0,0,58,40,190,9,7,11,231,0,0,126,20,0
OTU_543,0,0,0,0,0,0,7,9,2,8,8,4,0,2,0,5,0,0
OTU_379,31,14,18,43,7,48,10,50,36,100,132,95,2,36,24,16,0,31
OTU_403,0,0,0,0,0,0,0,0,60,0,0,1,251,89,182,48,19,43
OTU_369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_408,0,4,0,0,0,0,4,0,0,9,2,0,0,1,1,1,1,0
OTU_761,34,18,79,21,39,2,19,43,35,36,53,83,43,26,16,13,84,47
OTU_614,6,4,8,3,2,1,8,2,1,4,1,10,1,28,1,2,5,3
OTU_362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_601,22,25,50,45,52,22,35,59,49,62,55,66,4,23,51,19,10,25
OTU_582,100,109,116,100,22,159,2,5,28,13,11,0,0,5,0,0,0,3
OTU_1781,0,0,0,0,0,0,0,0,0,0,0,0,45,0,8,103,406,108
OTU_841,0,1,0,0,0,11,1,9,4,11,11,8,0,0,5,5,0,0
OTU_736,0,5,0,0,0,0,0,0,0,0,0,0,92,93,76,15,26,26
OTU_364,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OTU_339,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU_394,0,2,0,0,1,1,0,0,1,2,0,2,1,0,2,0,0,0
OTU_1358,0,0,0,0,0,0,8,3,4,7,6,7,1,3,5,2,4,11
OTU_529,0,0,0,0,0,0,1,0,3,4,2,2,0,1,2,4,0,0
OTU_354,0,0,0,0,0,0,61,36,109,7,17,9,29,26,77,55,113,113
OTU_407,0,0,0,0,0,0,1,1,0,0,0,0,15,3,2,0,0,1
OTU_400,103,171,58,133,85,90,0,0,0,0,0,0,0,0,0,0,0,0
OTU_530,0,0,0,0,1,0,9,9,47,2,8,4,110,19,28,309,58,20
OTU_484,0,0,0,0,0,1,0,1,0,0,0,0,14,1,0,1,0,3
OTU_405,65,19,0,1,0,57,97,81,75,51,71,71,1,10,34,2,0,1
OTU_580,0,4,3,0,4,0,111,38,37,34,54,31,24,103,67,52,50,23
OTU_675,0,0,0,0,0,0,1,1,1,0,0,1,184,60,55,50,71,90
OTU_418,0,0,5,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0
OTU_378,0,0,0,0,0,0,1,1,0,0,5,0,131,7,175,88,63,149
OTU_593,0,0,0,0,1,0,2,2,30,2,3,2,120,8,25,136,76,213
OTU_409,0,1,0,0,0,0,3,7,5,2,2,1,9,0,0,1,1,2
OTU_481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_445,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0
OTU_528,0,0,0,0,0,0,3,6,4,3,5,5,0,0,0,0,0,0
OTU_557,0,0,0,0,0,0,90,43,4,111,105,79,58,25,15,39,36,14
OTU_691,32,68,46,129,37,302,0,1,0,0,1,0,0,0,0,0,0,0
OTU_1101,0,1,0,0,0,0,21,16,118,6,8,5,88,17,29,73,31,199
OTU_563,0,0,0,0,0,0,9,0,1,1,1,0,1,2,0,0,0,0
OTU_465,0,14,0,0,0,0,7,20,4,10,1,11,11,9,0,0,0,1
OTU_555,111,78,109,94,41,106,7,9,0,19,10,8,0,5,3,3,0,4
OTU_435,0,0,0,0,0,0,102,27,26,0,0,16,8,2,3,1,20,0
OTU_840,0,0,0,0,0,0,3,0,1,4,2,4,174,35,246,57,15,9
OTU_397,0,0,0,0,0,0,9,10,174,51,52,10,0,16,146,19,19,94
OTU_876,5,6,3,0,6,0,7,17,17,15,13,13,82,78,57,65,106,101
OTU_428,6,0,2,0,14,3,24,22,6,133,152,200,12,1,1,2,7,3
OTU_382,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OTU_624,0,0,0,0,0,0,0,0,0,0,0,0,0,114,212,252,0,6
OTU_506,33,6,15,15,15,84,56,42,39,50,43,44,8,64,11,19,6,26
OTU_390,0,0,0,0,0,0,1,0,0,0,0,0,7,11,2,2,3,8
OTU_1853,12,1,0,0,1,19,44,32,133,86,138,29,6,13,11,25,8,3
OTU_415,253,76,16,31,132,48,1,0,0,2,0,0,0,0,0,0,0,0
OTU_427,0,0,0,0,0,0,0,0,0,0,0,0,555,0,0,0,0,0
OTU_477,0,0,0,0,0,0,2,2,2,2,0,9,0,0,0,0,0,0
OTU_665,19,6,2,26,3,0,41,30,20,3,19,9,84,4,36,72,106,70
OTU_421,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
OTU_674,1,0,0,0,0,0,0,4,0,0,0,0,54,53,61,72,164,140
OTU_603,0,0,0,0,0,0,6,2,1,0,0,0,0,2,0,1,1,0
OTU_420,0,0,0,0,0,0,0,0,0,1,0,0,25,10,5,5,6,5
OTU_401,0,0,1,1,4,2,2,0,0,1,6,2,0,0,0,0,2,0
OTU_590,0,0,0,0,0,0,0,0,0,0,0,1,108,152,52,136,73,22
OTU_461,1,0,20,0,0,0,3,7,49,0,0,0,9,14,65,200,137,36
OTU_618,0,0,0,0,0,0,2,0,143,0,0,0,60,71,115,63,49,39
OTU_556,0,0,0,0,0,0,1,0,0,0,0,3,261,4,24,86,110,51
OTU_459,0,3,0,0,0,0,7,1,1,4,6,4,1,1,0,1,0,1
OTU_488,0,1,0,0,1,0,2,0,0,1,1,2,0,0,0,0,0,0
OTU_485,0,0,1,0,1,0,144,46,23,22,17,27,137,12,18,7,32,46
OTU_587,0,7,0,0,0,0,6,4,0,1,2,1,0,0,0,0,0,1
OTU_888,0,0,0,0,0,0,0,0,0,0,0,0,61,87,180,126,15,54
OTU_535,0,0,0,1,0,1,4,6,1,3,1,4,1,6,5,7,7,8
OTU_423,0,0,0,0,0,0,0,0,0,0,0,0,6,41,371,49,1,54
OTU_417,117,59,9,29,94,147,8,17,5,17,8,11,0,0,0,0,0,0
OTU_760,5,2,4,0,4,1,1,0,0,0,5,2,36,34,29,58,258,78
OTU_429,0,0,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0
OTU_541,89,51,25,23,130,4,13,27,18,24,15,36,7,26,8,13,5,4
OTU_606,2,0,0,2,1,4,0,3,4,6,3,10,6,0,3,1,0,3
OTU_489,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0
OTU_576,0,0,0,0,0,0,1,1,2,1,2,25,20,46,14,19,30,15
OTU_858,1,0,0,184,22,4,1,6,22,21,17,20,1,1,0,1,18,5
OTU_462,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0
OTU_411,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0
OTU_492,0,0,0,0,0,0,1,5,3,0,8,6,0,0,0,0,0,0
OTU_915,33,43,23,10,32,39,26,31,39,13,38,16,95,5,9,11,19,14
OTU_449,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
OTU_552,48,55,39,36,91,53,27,33,34,9,29,19,0,2,1,3,5,5
OTU_458,2,7,1,0,4,0,102,83,8,122,78,57,2,13,1,4,2,0
OTU_479,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
OTU_456,0,0,1,0,0,0,1,0,2,2,0,2,0,0,0,0,0,0
OTU_570,0,0,0,0,0,0,0,0,0,0,0,0,288,32,58,72,25,11
OTU_516,0,3,0,0,0,0,3,0,1,0,3,1,0,0,1,0,0,1
OTU_545,0,0,0,0,0,0,0,0,0,1,0,0,67,65,36,98,78,138
OTU_602,0,0,0,0,1,0,1,1,1,4,1,7,17,0,2,0,0,0
OTU_475,0,0,0,0,0,1,46,20,21,112,150,56,13,19,16,18,4,2
OTU_755,0,2,0,0,0,0,7,1,2,1,3,9,0,1,0,0,0,0
OTU_594,0,1,1,0,1,50,0,0,2,1,1,4,26,6,16,65,150,152
OTU_442,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
OTU_699,21,63,35,34,78,115,4,2,2,6,2,0,0,0,0,1,0,0
OTU_503,56,91,51,35,59,37,3,20,35,7,6,10,2,12,8,23,2,14
OTU_1276,0,0,0,0,0,0,0,1,0,0,0,0,32,62,253,109,2,11
OTU_573,0,0,0,0,0,0,0,0,0,0,0,0,18,0,5,1,1,4
OTU_464,52,29,44,56,76,14,14,28,28,16,50,24,2,10,3,4,4,8
OTU_615,0,0,0,0,0,0,7,5,5,9,4,5,0,0,0,0,0,1
OTU_443,1,27,15,21,33,0,28,46,37,30,48,50,1,25,31,49,1,24
OTU_438,38,20,0,179,152,3,23,0,10,0,0,1,7,9,1,4,20,0
OTU_821,0,0,0,0,0,0,5,3,6,3,5,4,0,1,3,5,1,1
OTU_476,1,0,0,0,0,0,2,0,4,0,0,0,18,37,323,7,4,63
OTU_1218,0,0,0,0,0,0,0,0,59,0,0,0,1,328,51,10,0,8
OTU_613,0,1,0,0,0,0,9,1,2,6,9,6,0,0,0,0,0,0
OTU_526,0,1,0,0,0,0,5,2,3,4,3,6,0,1,0,0,0,0
OTU_846,26,0,1,74,7,1,4,2,1,28,7,4,16,7,4,21,177,57
OTU_444,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OTU_652,0,0,0,0,10,0,0,0,0,0,0,0,122,44,33,43,139,60
OTU_482,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU_662,0,0,0,0,0,0,2,5,2,1,3,3,0,1,0,0,0,0
OTU_486,0,0,0,0,0,0,0,0,0,0,0,0,43,5,355,37,6,1
OTU_629,0,0,0,0,0,0,2,1,2,1,2,1,0,0,0,2,0,0
OTU_521,27,135,0,0,1,3,55,9,81,0,0,0,0,0,0,0,0,0
OTU_560,7,0,0,0,0,0,19,24,83,21,18,44,7,115,24,62,10,11
OTU_653,0,0,0,0,0,0,0,0,0,0,0,0,82,50,128,113,24,46
OTU_742,0,0,180,0,2,2,0,0,15,0,0,0,2,6,52,18,16,52
OTU_1351,29,64,14,19,100,7,22,20,20,6,28,21,2,36,31,8,7,7
OTU_406,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
OTU_472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_549,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,299,25
OTU_813,1,0,0,1,0,0,24,13,54,79,83,8,7,40,21,28,21,56
OTU_524,0,0,0,0,0,0,0,0,0,0,0,0,434,0,0,0,0,0
OTU_540,0,0,0,0,0,0,0,0,0,2,5,0,38,34,55,41,134,123
OTU_466,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
OTU_790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_490,0,0,0,0,0,0,0,0,0,0,0,0,73,0,18,13,223,98
OTU_828,1,1,2,0,111,173,0,0,0,0,0,1,0,0,1,0,0,0
OTU_463,0,0,0,0,0,0,25,26,1,67,93,141,0,35,30,1,0,3
OTU_520,0,0,0,0,0,0,0,0,0,0,0,0,220,0,71,90,0,39
OTU_531,0,0,0,0,0,0,32,8,64,4,6,0,15,73,73,41,43,49
OTU_1140,0,0,0,0,0,0,0,0,0,0,0,0,79,34,23,53,126,104
OTU_598,0,0,0,0,0,0,2,0,0,2,0,0,50,17,9,6,9,13
OTU_756,29,30,27,22,43,53,16,31,13,46,36,33,6,10,3,5,9,3
OTU_525,2,0,5,4,7,7,23,50,69,53,79,63,11,6,7,5,3,16
OTU_487,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,6,1
OTU_697,0,0,0,0,3,0,48,27,20,25,9,148,17,4,1,16,69,20
OTU_591,0,0,0,0,0,6,3,0,0,2,4,3,1,0,0,0,0,0
OTU_519,0,0,41,0,0,1,0,0,0,0,0,0,144,45,7,54,77,36
OTU_634,0,0,0,0,0,0,0,0,0,0,0,0,309,0,18,56,22,0
OTU_534,0,42,8,237,21,21,0,1,12,4,19,8,0,3,6,4,16,1
OTU_553,0,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU_647,0,0,0,0,0,0,1,2,2,5,0,1,0,0,0,0,0,0
OTU_650,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
OTU_474,27,0,0,1,10,0,78,89,47,70,55,19,0,0,4,1,0,0
OTU_757,0,27,0,0,1,369,0,0,0,0,0,0,0,0,0,0,0,0
OTU_470,0,0,0,0,0,0,5,3,1,2,4,5,0,0,0,0,0,0
OTU_471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_783,20,6,20,6,12,15,8,2,41,13,1,2,28,30,11,25,109,33
OTU_448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_498,0,0,0,0,0,0,0,2,0,0,2,4,0,0,0,0,0,0
OTU_604,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,6,57,7
OTU_637,0,0,0,0,0,0,1,1,2,0,3,2,0,0,0,0,0,0
OTU_583,10,3,13,9,26,34,46,49,66,25,46,46,1,7,6,1,3,2
OTU_678,0,0,0,0,0,0,8,0,0,4,3,2,0,1,0,1,2,2
OTU_748,0,0,0,0,0,0,1,0,2,1,3,1,38,1,10,3,11,11
OTU_1169,1,2,0,0,2,0,0,2,2,4,1,1,42,8,15,50,183,69
OTU_659,0,0,0,0,0,0,1,1,1,1,1,1,31,30,14,13,34,27
OTU_522,0,0,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_611,0,1,1,0,0,0,0,0,1,0,0,2,28,18,17,53,186,79
OTU_844,0,0,0,0,0,0,0,0,6,0,0,0,130,56,94,54,24,21
OTU_518,0,0,0,0,0,0,0,0,0,1,0,0,8,1,0,5,0,1
OTU_694,0,0,0,0,0,1,10,3,5,107,163,31,0,1,0,1,56,6
OTU_504,0,0,0,0,0,0,0,0,0,0,0,0,10,12,196,35,54,76
OTU_718,0,0,0,0,0,0,2,0,2,4,4,4,0,0,0,0,0,0
OTU_494,0,0,0,0,0,0,110,67,18,41,52,45,20,0,0,2,18,3
OTU_687,0,0,0,0,0,0,1,2,0,0,0,0,216,0,2,24,129,6
OTU_1200,2,1,0,1,1,0,8,2,118,15,21,6,46,20,14,23,56,42
OTU_509,0,0,0,0,0,0,0,2,1,1,0,4,0,0,4,2,2,0
OTU_571,109,43,16,26,39,96,0,8,6,2,0,14,4,0,0,1,8,3
OTU_537,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
OTU_547,182,11,11,16,58,92,0,2,0,0,0,0,0,0,0,0,0,0
OTU_620,0,0,0,0,0,0,2,0,0,0,0,7,0,0,3,6,4,3
OTU_894,11,13,37,17,5,5,10,12,19,0,10,9,35,39,28,86,23,12
OTU_735,0,0,0,80,0,138,3,2,4,5,5,8,0,0,0,0,0,0
OTU_729,0,0,0,1,0,0,0,0,0,0,0,0,107,57,26,40,89,46
OTU_772,0,3,0,0,0,0,1,0,0,3,4,4,0,0,0,0,0,0
OTU_495,0,0,0,0,0,0,38,99,15,52,25,132,0,0,0,0,0,1
OTU_860,0,1,0,0,1,2,11,2,4,5,4,0,0,6,1,0,0,0
OTU_814,3,2,6,0,14,0,42,34,37,57,91,43,1,8,7,9,0,5
OTU_645,2,1,1,0,2,37,11,12,139,42,51,23,0,14,11,0,0,0
OTU_523,0,0,0,0,0,0,4,0,19,2,2,16,69,5,85,8,39,105
OTU_725,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,2,0
OTU_784,37,60,19,23,29,24,23,19,1,5,1,20,0,28,4,28,0,25
OTU_1283,0,0,0,0,0,0,8,2,0,0,2,3,0,0,0,0,0,0
OTU_711,0,0,0,0,0,0,0,0,0,0,0,0,48,17,3,29,232,24
OTU_473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_722,0,0,0,0,0,0,0,1,1,5,0,0,57,57,23,35,116,55
OTU_700,1,1,1,0,1,1,40,25,46,41,53,26,32,17,1,4,4,4
OTU_510,14,1,28,5,96,24,10,78,13,15,15,40,4,0,0,0,0,1
OTU_554,3,0,1,0,1,0,78,94,50,22,18,24,5,13,9,20,5,1
OTU_912,0,0,0,0,0,0,0,0,0,0,0,0,133,5,1,2,64,135
OTU_661,5,0,2,1,2,2,1,0,2,2,1,0,0,0,0,0,0,0
OTU_1068,58,13,53,25,32,27,23,11,14,14,22,9,23,0,4,2,0,7
OTU_1094,25,18,38,11,1,0,3,25,40,37,61,24,9,14,11,11,0,8
OTU_626,2,0,0,0,0,0,0,3,1,0,1,0,0,0,0,1,1,1
OTU_491,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
OTU_496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_708,0,0,0,0,0,0,8,3,3,1,8,9,1,2,0,2,7,7
OTU_1028,68,59,25,34,42,68,2,8,2,3,4,16,0,0,0,0,0,0
OTU_610,0,0,0,0,0,0,0,4,95,0,0,0,2,207,19,3,0,0
OTU_716,15,21,35,33,31,1,18,26,19,22,37,26,3,11,6,1,17,8
OTU_565,0,0,0,0,0,0,47,131,42,45,35,27,0,0,2,0,0,0
OTU_539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,0,0
OTU_822,0,0,0,0,0,1,4,5,2,0,2,4,0,0,0,0,0,0
OTU_558,0,0,0,0,1,0,0,0,147,6,5,5,7,18,13,56,15,53
OTU_564,0,0,0,0,0,0,0,0,0,0,1,1,127,8,122,24,25,14
OTU_589,0,0,0,0,0,0,4,1,1,0,3,4,0,0,0,0,0,0
OTU_638,1,3,6,0,2,2,56,33,22,60,31,56,8,12,17,10,1,4
OTU_837,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,2,0
OTU_550,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
OTU_632,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0
OTU_646,0,0,0,0,0,0,9,0,1,1,1,5,0,0,0,0,0,0
OTU_536,0,0,0,0,0,0,46,76,5,23,26,92,19,12,3,1,5,10
OTU_586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,45,5,19
OTU_544,0,1,0,1,1,0,0,0,1,0,0,0,0,0,3,1,7,8
