,DS1_R_1,DS1_R_2,DS1_R_3,DS1_R_4,DS1_R_5,DS1_R_6,DS2_R_1,DS2_R_2,DS2_R_3,DS2_R_4,DS2_R_5,DS2_R_6,DS3_R_1,DS3_R_2,DS3_R_3,DS3_R_4,DS3_R_5,DS3_R_6
OTU_848,0.006495405,0,0.005632428,0,0,0,0,0,0.003253567,0.003375527,0,0,0.009710781,0.00489644,0.027605917,0.005078806,0.022397188,0.022134441
OTU_793,0,0,0,0,0,0,0.008733167,0.007280537,0.162678336,0,0,0,0.019421561,0.009792881,0.02598204,0.013543483,0.046517237,0.006810597
OTU_1202,0,0,0,0,0,0,0,0,0,0,0.001560817,0,0.003236927,0,0,0,0.005168582,0.005107948
OTU_815,0,0,0,0,0,0,0,0.001820134,0,0.001687764,0.001560817,0,0.009710781,0.006528587,0.014614897,0.011850548,0.020674328,0.034052986
OTU_968,0,0,0,0,0,0,0,0,0,0,0,0,0.038843122,0.019585761,0.021110407,0.116812541,0.020674328,0.085132466
OTU_1023,0,0.001696554,0,0.003146485,0,0,0.006986533,0.001820134,0,0.025316456,0.001560817,0,0.014566171,0.019585761,0.009743265,0.011850548,0.132660269,0.07491657
OTU_1083,0,0,0.003754952,0,0,0.043325471,0,0,0,0,0,0,0,0,0.003247755,0,0,0
OTU_795,0,0,0,0,0,0,0,0,0,0,0,0,0.043698513,0.159950383,0.001623877,0.013543483,0.044794377,0.028945038
OTU_805,0,0,0,0,0,0,0,0,0.008133917,0,0,0,0.037224659,0.10608954,0.11042367,0.011850548,0,0.015323844
OTU_889,0,0,0.003754952,0,0,0,0,0,0,0,0,0,0,0.001632147,0.00649551,0.005078806,0,0
OTU_1016,0.045467832,0.006786217,0.003754952,0.02045215,0,0.022465059,0.038425934,0.043683224,0.006507133,0.021940928,0.029655528,0.009900337,0.001618463,0.014689321,0,0.008464677,0.005168582,0.015323844
OTU_738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1031,0.003247702,0.013572434,0.001877476,0.007866211,0.009177118,0.008023235,0.024452867,0.043683224,0.029282101,0.032067511,0.063993507,0.018150617,0.011329244,0.011425027,0.003247755,0.003385871,0.001722861,0.003405299
OTU_1449,0,0,0,0,0,0,0,0,0,0,0,0,0.024276951,0.001632147,0,0.005078806,0.170563203,0.097051011
OTU_1706,0,0,0,0,0,0,0,0,0.029282101,0,0,0,0.019421561,0.032642935,0.099056527,0.094804381,0.003445721,0.010215896
OTU_1105,0,0,0,0,0,0,0,0,0.0097607,0,0,0,0.027513878,0.009792881,0.01299102,0.010157612,0.086143032,0.136211946
OTU_750,0.001623851,0,0.003754952,0,0.033649434,0.054558,0.019212967,0.045503358,0.003253567,0.020253165,0.07335841,0.024750842,0.00485539,0,0,0,0,0
OTU_789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_917,0,0,0,0,0,0,0,0.005460403,0.006507133,0.005063291,0.001560817,0.003300112,0,0,0,0,0,0.001702649
OTU_807,0,0,0,0,0,0,0,0,0,0,0,0,0.029132342,0,0,0.042323385,0.006891443,0.214533815
OTU_870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1627,0,0.005089663,0,0,0,0,0.003493267,0.003640269,0,0.003375527,0.006243269,0.004950168,0,0,0.001623877,0.003385871,0,0
OTU_880,0,0,0,0,0,0,0.003493267,0.005460403,0,0,0,0.003300112,0,0,0.001623877,0.001692935,0,0
OTU_886,0,0,0,0,0,0,0,0,0,0,0,0,0.029132342,0.003264294,0.01948653,0.028779901,0.070637286,0.137914595
OTU_946,0,0,0,0,0,0,0,0.003640269,0,0,0,0,0,0.009792881,0.001623877,0,0,0.001702649
OTU_1032,0,0,0,0,0,0,0,0,0,0.001687764,0,0,0,0,0,0,0,0
OTU_1388,0,0,0,0,0,0,0.006986533,0.020021478,0.006507133,0.008438819,0.010925721,0.008250281,0.021040025,0,0.001623877,0.001692935,0,0
OTU_754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010215896
OTU_791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_810,0,0,0,0,0,0,0,0,0,0,0,0,0.011329244,0.048964403,0.014614897,0.060945674,0.077528729,0.073213921
OTU_1054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_732,0,0,0,0,0,0,0,0,0,0,0,0,0.071212391,0.089768072,0.03247755,0.081260898,0.001722861,0
OTU_762,0,0,0,0,0,0,0,0.001820134,0,0,0.006243269,0.001650056,0,0,0,0,0,0.005107948
OTU_854,0,0,0,0,0,0,0,0,0,0,0,0,0.076067781,0.00489644,0.040596937,0.064331544,0.075805868,0.017026493
OTU_955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_853,0,0,0,0,0,0,0,0,0,0,0,0,0.129477074,0,0,0,0.148166015,0
OTU_975,0,0.001696554,0.067589133,0,0,0.187743706,0,0,0,0,0,0,0,0,0,0.001692935,0.005168582,0.005107948
OTU_1628,0,0,0,0,0,0,0.008733167,0.016381209,0.011387484,0,0.006243269,0.006600224,0.011329244,0.027746495,0,0.005078806,0.005168582,0
OTU_920,0,0,0,0,0,0,0.024452867,0.001820134,0.063444551,0.01350211,0.004682452,0.003300112,0.017803098,0.003264294,0.00649551,0.04401632,0.087865893,0.006810597
OTU_1000,0,0,0,0,0,0,0,0.007280537,0.00488035,0.010126582,0.009364903,0,0.043698513,0.014689321,0.01948653,0.037244578,0.060300122,0.068105973
OTU_1074,0,0,0,0,0.00152952,0,0.001746633,0.001820134,0.001626783,0,0.007804086,0,0.029132342,0.003264294,0.00649551,0.077875028,0.10681736,0.039160934
OTU_1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_782,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006528587,0.167259382,0.052480997,0.010337164,0.034052986
OTU_794,0,0,0,0,0,0,0,0,0.013014267,0,0,0,0.008092317,0.062021577,0.024358162,0.054173932,0.084420171,0.028945038
OTU_1121,0,0,0,0,0,0,0,0.007280537,0.003253567,0,0,0,0,0,0,0,0.013782885,0
