row,Elongation,Seedling,Tillering,MeanDecreaseAccuracy,MeanDecreaseGini,Order,top,Group
OTU1745,1.417050503,1.001001503,0,1.411207742,0.018,Lactobacillales,134,Elongation
OTU1782,0,0,0,0,0.018,Pseudonocardiales,135,Elongation
OTU1084,-1.001001503,0,1.001001503,0,0.017866667,Bacteroidales,136,Elongation
OTU441,1.001001503,0,1.001001503,1.001001503,0.017833333,Bacteroidales,137,Elongation
OTU353,0,0,1.001001503,1.001001503,0.017714286,Bacteroidales,138,Elongation
OTU381,0,0,1.001001503,1.001001503,0.017690476,Clostridiales,139,Elongation
OTU1833,0,0,1.417050503,1.408348959,0.017688889,Clostridiales,140,Elongation
OTU661,0,0,0,0,0.01767619,Clostridiales,141,Elongation
OTU484,0,0,0,0,0.017666667,Lactobacillales,142,Elongation
OTU1212,1.417050503,1.34406228,0,1.402752094,0.01747619,Bacteroidales,143,Elongation
OTU88,1.001001503,1.266939792,0,1.266939792,0.017333333,Sphingomonadales,144,Elongation
OTU12,0,1.001001503,0,1.001001503,0.017333333,Xanthomonadales,145,Elongation
OTU1358,0,0,0,0,0.016890476,Clostridiales,146,Elongation
OTU535,-1.001001503,0,0,-1.001001503,0.016866667,Clostridiales,147,Elongation
OTU747,1.001001503,0,1.001001503,1.001001503,0.0168,Clostridiales,148,Elongation
OTU58,1.001001503,1.001001503,-1.001001503,1.001001503,0.016666667,Methylophilales,149,Elongation
OTU1307,0,1.001001503,0,1.001001503,0.016380952,Clostridiales,150,Elongation
OTU104,1.001001503,0,0,1.001001503,0.016190476,Erysipelotrichales,151,Elongation
OTU860,0,1.001001503,0,1.001001503,0.016190476,Clostridiales,152,Elongation
OTU203,1.001001503,1.417050503,0,1.380621367,0.016,Clostridiales,153,Elongation
OTU770,1.001001503,0,0,1.001001503,0.016,Clostridiales,154,Elongation
OTU783,0,0,0,0,0.015847619,Bacillales,155,Elongation
OTU324,0,0,0,0,0.015714286,Bacteroidales,156,Elongation
OTU243,0,1.001001503,0,1.001001503,0.015666667,Burkholderiales,157,Elongation
OTU1677,0,0,0,0,0.015666667,Bacteroidales,158,Elongation
OTU891,1.001001503,0,0,1.001001503,0.015047619,Clostridiales,159,Elongation
OTU1465,0,0,0,0,0.015,Bacteroidales,160,Elongation
OTU614,0,0,0,0,0.014857143,Clostridiales,161,Elongation
OTU459,0,1.001001503,0,1.001001503,0.014666667,Bacteroidales,162,Elongation
OTU166,0,0,0,0,0.014666667,Bacteroidales,163,Elongation
OTU1263,0,0,0,0,0.014666667,Erysipelotrichales,164,Elongation
OTU1213,0,0,0,0,0.01452381,Desulfovibrionales,165,Elongation
OTU842,0,0,0,0,0.014285714,Clostridiales,166,Elongation
OTU528,1.001001503,1.001001503,0,1.001001503,0.014,Bacteroidales,167,Elongation
OTU882,1.001001503,1.001001503,0,1.001001503,0.014,Bifidobacteriales,168,Elongation
OTU1110,0,0,0,0,0.0138,Clostridiales,169,Elongation
OTU563,0,0,0,0,0.013722222,Bacteroidales,170,Elongation
OTU1627,1.001001503,1.001001503,0,1.001001503,0.013666667,Clostridiales,171,Elongation
OTU439,0,0,0,0,0.013609524,Bacteroidales,172,Elongation
OTU603,0,0,0,0,0.013333333,Clostridiales,173,Elongation
OTU1007,0,1.001001503,0,1.001001503,0.013333333,Bacteroidales,174,Elongation
OTU50,0,0,0,0,0.012857143,Sphingobacteriales,175,Elongation
OTU498,0,1.001001503,0,1.001001503,0.012666667,Spirochaetales,176,Elongation
OTU1635,0,1.001001503,-1.001001503,0,0.012666667,Clostridiales,177,Elongation
OTU917,0,0,0,0,0.012485714,Bacteroidales,178,Elongation
OTU792,0,0,0,0,0.0123,Clostridiales,179,Elongation
OTU1032,0,0,0,0,0.0122,Clostridiales,180,Elongation
OTU905,0,0,0,0,0.012111111,Bacteroidales,181,Elongation
OTU150,0,0,0,0,0.012047619,Xanthomonadales,182,Elongation
OTU36,1.001001503,0,-1.001001503,0,0.012,Bacteroidales,183,Elongation
OTU1177,0,1.001001503,0,1.001001503,0.011666667,Bacteroidales,184,Elongation
OTU1464,0,1.001001503,0,1.001001503,0.011666667,Clostridiales,185,Elongation
OTU1354,0,0,0,0,0.011533333,Clostridiales,186,Elongation
OTU89,0,0,0,0,0.0115,Bacteroidales,187,Elongation
OTU85,-1.001001503,0,1.001001503,0,0.011428571,Gaiellales,188,Elongation
OTU286,0,0,0,0,0.011333333,Bacteroidales,189,Elongation
OTU1366,1.001001503,0,0,1.001001503,0.011333333,Rhizobiales,190,Elongation
OTU1846,0,0,0,0,0.011333333,Bacteroidales,191,Elongation
