Order,DS1_L_1,DS1_L_2,DS1_L_3,DS1_L_4,DS1_L_5,DS1_L_6,DS1_R_1,DS1_R_2,DS1_R_3,DS1_R_4,DS1_R_5,DS1_R_6,DS2_L_1,DS2_L_2,DS2_L_3,DS2_L_4,DS2_L_5,DS2_L_6,DS2_R_1,DS2_R_2,DS2_R_3,DS2_R_4,DS2_R_5,DS2_R_6,DS3_L_1,DS3_L_2,DS3_L_3,DS3_L_4,DS3_L_5,DS3_L_6,DS3_R_1,DS3_R_2,DS3_R_3,DS3_R_4,DS3_R_5,DS3_R_6
NKB5,0,0,0,0,0,0,0.17375207,0.176441647,0.550100445,0.059783207,0.628632609,0.019255765,0,0,0,0.001483063,0,0,0.045412467,0.074625507,0.17406582,0.140084388,0.126426197,0.252458584,0,0.001391111,0,0,0,0,0.019421561,0.011425027,0.034101427,0.082953834,0.094757335,0.056187428
Obscuribacterales,0,0,0,0,0,0,0,0.006786217,0.007509904,0.039331057,0.013765678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceanospirillales,2.13111061,0.322142867,1.714886471,2.604931712,6.237277354,0.620814839,1.438732097,1.630388681,1.689728329,1.332536224,1.963903334,3.132271057,0.782027149,0.389500423,1.529357402,4.078424393,0.016668827,0.714587738,0.366793006,0.342185253,0.082965951,0.183966245,0.131108648,0.204606957,1.714865829,2.154830632,8.771680207,23.32046063,3.607839815,2.296838532,0,0,0.014614897,0.001692935,0,0
OCS116_clade,0,0,0,0,0,0,0.04384398,0.016965543,0.043181946,0.025171877,0.007647599,0.080232353,0,0,0,0.001483063,0,0,0.169423436,0.096467119,0.156171203,0.128270042,0.092088217,0.138604713,0,0,0,0,0,0,0.009710781,0.034275082,0.063331222,0.035551643,0.015505746,0.081727167
Oligoflexales,0,0,0,0,0,0,0.167256666,0.13402779,0.082608941,0.053490238,0.217191802,0.155650765,0,0,0,0,0,0,0.359806473,0.313063104,0.092726652,0.109704641,0.174811531,0.234307966,0,0,0,0,0,0,0.05664622,0.117514567,0.029229795,0.082953834,0.124045966,0.214533815
Pasteurellales,0,0,0,0,0,0,0,0,0.001877476,0,0,0,0.013773472,0,0.079001893,0.001483063,0.007408368,0,0,0,0,0,0,0,0,0.001391111,0,0,0,0,0.063120074,0.042435816,0.029229795,0.025394031,0.022397188,0.056187428
PeM15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001623877,0.008464677,0.024120049,0.015323844
Propionibacteriales,0.00150184,0.068541036,4.662688931,0,0.001590331,0.001525344,0.646292748,0.337614305,0.356720425,0.32880764,0.290608749,0.407580353,0.004591157,2.270802864,0.004471805,0.00444919,0,0.001409443,0.158943636,0.165632224,0.097607002,0.197468354,0.118622111,0.132004488,0,0.002782222,0.002845638,0,0.004236211,0.001768159,0.124621684,0.23176484,0.079569997,0.247168566,0.484123839,0.357556358
Pseudomonadales,0.352932342,7.291395358,0.069633129,4.431665469,0.014312977,7.321649201,0.012990809,0.072951835,0.013142331,0.028318361,0.122361578,0.048139412,0.052033118,5.785543838,0.137135362,4.585632082,0.055562758,0.021141649,0.228808971,0.023661746,0.039042801,0.040506329,0.06243269,0.014850505,13.34714372,0.023648884,0.054067129,0.328775702,44.36583919,2.199589787,0.623108421,0.259511335,0.519640798,1.04454113,1.233568217,0.735544507
Pseudonocardiales,0.006007359,0.004112462,0.002730711,0.006250586,0,0.001525344,0.025981618,0.067862172,0.00938738,0.004719727,0.012236158,0.020860412,0,0,0,0,0,0,0.017466334,0.009100672,0.003253567,0.060759494,0.001560817,0.003300112,0,0,0,0,0,0,0.116529367,0.070182311,0.01948653,0.013543483,0.103371638,0.044268882
